time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2
7806	1.1381412415	-1.700901856	-3.475253803	1.1381412415	-1.810174966
7807	1.138213342	-1.701075605	-3.475877672	1.138213342	-1.810367186
7808	1.1382854333	-1.701249331	-3.47650146	1.1382854333	-1.81055938
7809	1.1383575154	-1.701423036	-3.477125168	1.1383575154	-1.81075155
7810	1.1384295883	-1.701596718	-3.477748797	1.1384295883	-1.810943696
7811	1.1385016519	-1.701770378	-3.478372345	1.1385016519	-1.811135816
7812	1.1385737064	-1.701944015	-3.478995814	1.1385737064	-1.811327913
7813	1.1386457515	-1.702117631	-3.479619203	1.1386457515	-1.811519984
7814	1.1387177875	-1.702291224	-3.480242512	1.1387177875	-1.811712031
7815	1.1387898143	-1.702464795	-3.480865742	1.1387898143	-1.811904054
7816	1.1388618318	-1.702638344	-3.481488892	1.1388618318	-1.812096052
7817	1.1389338401	-1.70281187	-3.482111962	1.1389338401	-1.812288025
7818	1.1390058392	-1.702985375	-3.482734952	1.1390058392	-1.812479974
7819	1.1390778291	-1.703158857	-3.483357862	1.1390778291	-1.812671898
7820	1.1391498098	-1.703332317	-3.483980693	1.1391498098	-1.812863798
7821	1.1392217813	-1.703505755	-3.484603445	1.1392217813	-1.813055673
7822	1.1392937436	-1.70367917	-3.485226116	1.1392937436	-1.813247523
7823	1.1393656967	-1.703852564	-3.485848709	1.1393656967	-1.81343935
7824	1.1394376406	-1.704025935	-3.486471221	1.1394376406	-1.813631151
7825	1.1395095753	-1.704199284	-3.487093654	1.1395095753	-1.813822928
7826	1.1395815008	-1.704372611	-3.487716007	1.1395815008	-1.814014681
7827	1.1396534171	-1.704545916	-3.488338281	1.1396534171	-1.814206409
7828	1.1397253242	-1.704719199	-3.488960476	1.1397253242	-1.814398112
7829	1.1397972221	-1.704892459	-3.489582591	1.1397972221	-1.814589791
7830	1.1398691109	-1.705065698	-3.490204626	1.1398691109	-1.814781446
7831	1.1399409905	-1.705238914	-3.490826582	1.1399409905	-1.814973076
7832	1.1400128609	-1.705412108	-3.491448459	1.1400128609	-1.815164682
7833	1.1400847221	-1.70558528	-3.492070256	1.1400847221	-1.815356263
7834	1.1401565742	-1.70575843	-3.492691974	1.1401565742	-1.81554782
7835	1.140228417	-1.705931558	-3.493313612	1.140228417	-1.815739352
7836	1.1403002507	-1.706104664	-3.493935171	1.1403002507	-1.81593086
7837	1.1403720753	-1.706277748	-3.494556651	1.1403720753	-1.816122343
7838	1.1404438907	-1.706450809	-3.495178052	1.1404438907	-1.816313802
7839	1.1405156969	-1.706623849	-3.495799373	1.1405156969	-1.816505237
7840	1.1405874939	-1.706796866	-3.496420615	1.1405874939	-1.816696647
7841	1.1406592818	-1.706969862	-3.497041778	1.1406592818	-1.816888032
7842	1.1407310606	-1.707142835	-3.497662861	1.1407310606	-1.817079394
7843	1.1408028302	-1.707315787	-3.498283866	1.1408028302	-1.817270731
