time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2	tvc2_rcs1	tvc2_rcs2
241	-0.819377741	1.3979828506	-0.982714165	-0.819377741	1.3029321641	-0.819377741	1.3029321641
242	-0.817047083	1.3972079633	-0.976653704	-0.817047083	1.3028296383	-0.817047083	1.3028296383
243	-0.814726036	1.3964265601	-0.970604206	-0.814726036	1.3027192973	-0.814726036	1.3027192973
244	-0.812414522	1.3956387459	-0.964565776	-0.812414522	1.302601233	-0.812414522	1.302601233
245	-0.810112461	1.394844624	-0.958538516	-0.810112461	1.3024755357	-0.810112461	1.3024755357
246	-0.807819777	1.394044296	-0.952522524	-0.807819777	1.3023422948	-0.807819777	1.3023422948
247	-0.805536395	1.3932378619	-0.946517895	-0.805536395	1.302201598	-0.805536395	1.302201598
248	-0.803262238	1.3924254197	-0.94052472	-0.803262238	1.3020535322	-0.803262238	1.3020535322
249	-0.800997233	1.3916070661	-0.934543088	-0.800997233	1.3018981825	-0.800997233	1.3018981825
250	-0.798741306	1.3907828961	-0.928573085	-0.798741306	1.3017356334	-0.798741306	1.3017356334
251	-0.796494385	1.3899530032	-0.922614793	-0.796494385	1.3015659677	-0.796494385	1.3015659677
252	-0.794256397	1.3891174793	-0.916668292	-0.794256397	1.3013892673	-0.794256397	1.3013892673
253	-0.792027274	1.3882764147	-0.910733659	-0.792027274	1.3012056129	-0.792027274	1.3012056129
254	-0.789806943	1.3874298985	-0.904810969	-0.789806943	1.3010150841	-0.789806943	1.3010150841
255	-0.787595337	1.3865780181	-0.898900292	-0.787595337	1.3008177593	-0.787595337	1.3008177593
256	-0.785392387	1.3857208596	-0.893001697	-0.785392387	1.3006137158	-0.785392387	1.3006137158
257	-0.783198025	1.3848585077	-0.887115252	-0.783198025	1.30040303	-0.783198025	1.30040303
258	-0.781012186	1.3839910458	-0.881241019	-0.781012186	1.300185777	-0.781012186	1.300185777
259	-0.778834802	1.3831185557	-0.875379061	-0.778834802	1.2999620312	-0.778834802	1.2999620312
260	-0.776665809	1.3822411183	-0.869529436	-0.776665809	1.2997318655	-0.776665809	1.2997318655
261	-0.774505142	1.3813588129	-0.863692202	-0.774505142	1.2994953524	-0.774505142	1.2994953524
262	-0.772352738	1.3804717177	-0.857867413	-0.772352738	1.2992525628	-0.772352738	1.2992525628
263	-0.770208533	1.3795799094	-0.852055121	-0.770208533	1.2990035671	-0.770208533	1.2990035671
264	-0.768072466	1.3786834639	-0.846255378	-0.768072466	1.2987484345	-0.768072466	1.2987484345
265	-0.765944474	1.3777824555	-0.84046823	-0.765944474	1.2984872333	-0.765944474	1.2984872333
266	-0.763824498	1.3768769577	-0.834693725	-0.763824498	1.2982200311	-0.763824498	1.2982200311
267	-0.761712477	1.3759670424	-0.828931906	-0.761712477	1.2979468942	-0.761712477	1.2979468942
268	-0.759608351	1.3750527809	-0.823182816	-0.759608351	1.2976678884	-0.759608351	1.2976678884
